category,file,x0,y0,x1,y1,pixels,width,height
buttons,testpilot_buttons_001.png,727,31,952,106,16531,231,81
buttons,testpilot_buttons_002.png,41,36,265,100,14213,230,70
buttons,testpilot_buttons_003.png,278,36,492,100,13569,220,70
buttons,testpilot_buttons_004.png,505,36,721,101,13761,222,71
buttons,testpilot_buttons_005.png,961,36,1181,103,14385,226,73
buttons,testpilot_buttons_006.png,1193,36,1409,103,14253,222,73
buttons,testpilot_buttons_007.png,729,116,952,188,15233,229,78
buttons,testpilot_buttons_008.png,41,121,265,184,13778,230,69
buttons,testpilot_buttons_009.png,278,121,492,184,13154,220,69
buttons,testpilot_buttons_010.png,1193,121,1409,184,13350,222,69
buttons,testpilot_buttons_011.png,505,122,721,184,13188,222,68
buttons,testpilot_buttons_012.png,961,122,1181,184,13496,226,68
buttons,testpilot_buttons_013.png,727,197,953,265,15028,232,74
buttons,testpilot_buttons_014.png,41,203,265,258,12221,230,61
buttons,testpilot_buttons_015.png,278,203,492,258,11665,220,61
buttons,testpilot_buttons_016.png,505,203,719,258,11659,220,61
buttons,testpilot_buttons_017.png,962,203,1181,258,11934,225,61
buttons,testpilot_buttons_018.png,1194,203,1409,258,11634,221,61
buttons,testpilot_buttons_019.png,727,269,952,336,14745,231,73
buttons,testpilot_buttons_020.png,278,274,492,330,11628,220,62
buttons,testpilot_buttons_021.png,41,275,265,330,12210,230,61
buttons,testpilot_buttons_022.png,505,275,719,330,11644,220,61
buttons,testpilot_buttons_023.png,962,275,1181,330,11921,225,61
buttons,testpilot_buttons_024.png,1194,275,1408,330,11626,220,61
buttons,testpilot_buttons_025.png,731,343,944,407,12875,219,70
buttons,testpilot_buttons_026.png,41,349,238,401,10046,203,58
buttons,testpilot_buttons_027.png,269,349,467,400,9933,204,57
buttons,testpilot_buttons_028.png,504,349,702,401,10002,204,58
buttons,testpilot_buttons_029.png,972,349,1171,400,9823,205,57
buttons,testpilot_buttons_030.png,1206,349,1408,399,9944,208,56
buttons,testpilot_buttons_031.png,739,414,914,469,9126,181,61
buttons,testpilot_buttons_032.png,41,419,208,463,7073,173,50
buttons,testpilot_buttons_033.png,272,419,436,463,6907,170,50
