file,x0,y0,x1,y1,pixels,width,height
testpilot_dark_tabs_001.png,27,22,422,91,25289,401,75
testpilot_dark_tabs_002.png,828,24,1029,86,12157,207,68
testpilot_dark_tabs_003.png,426,25,622,87,12031,202,68
testpilot_dark_tabs_004.png,626,25,823,87,12024,203,68
testpilot_dark_tabs_005.png,1030,25,1227,86,11935,203,67
testpilot_dark_tabs_006.png,1231,25,1422,86,11566,197,67
testpilot_dark_tabs_007.png,827,110,1227,182,26461,406,78
testpilot_dark_tabs_008.png,27,115,222,179,12341,201,70
testpilot_dark_tabs_009.png,226,115,422,179,12442,202,70
testpilot_dark_tabs_010.png,426,115,622,179,12443,202,70
testpilot_dark_tabs_011.png,626,115,824,179,12481,204,70
testpilot_dark_tabs_012.png,1231,115,1423,177,11757,198,68
testpilot_dark_tabs_013.png,734,199,905,260,9596,177,67
testpilot_dark_tabs_014.png,26,200,194,259,9024,174,65
testpilot_dark_tabs_015.png,1113,200,1423,259,16544,316,65
testpilot_dark_tabs_016.png,380,201,548,259,8875,174,64
testpilot_dark_tabs_017.png,205,202,368,257,8197,169,61
testpilot_dark_tabs_018.png,560,203,723,257,8232,169,60
testpilot_dark_tabs_019.png,918,203,1082,257,8231,170,60
testpilot_dark_tabs_020.png,26,285,261,349,14665,241,70
testpilot_dark_tabs_021.png,623,286,866,357,15874,249,77
testpilot_dark_tabs_022.png,299,288,464,344,8839,171,62
testpilot_dark_tabs_023.png,497,288,622,353,7915,131,71
testpilot_dark_tabs_024.png,873,288,1018,353,9173,151,71
testpilot_dark_tabs_025.png,1028,288,1159,358,8746,137,76
testpilot_dark_tabs_026.png,1160,290,1285,350,7421,131,66
testpilot_dark_tabs_027.png,1295,290,1423,350,7552,134,66
testpilot_dark_tabs_028.png,299,350,464,409,9293,171,65
testpilot_dark_tabs_029.png,26,355,261,419,14690,241,70
testpilot_dark_tabs_030.png,871,386,1424,471,43580,559,91
testpilot_dark_tabs_031.png,497,389,679,469,14391,188,86
testpilot_dark_tabs_032.png,685,389,870,467,13896,191,84
testpilot_dark_tabs_033.png,299,412,464,469,9066,171,63
testpilot_dark_tabs_034.png,26,424,261,488,14868,241,70
testpilot_dark_tabs_035.png,297,474,466,655,29226,175,187
testpilot_dark_tabs_036.png,24,494,264,636,32564,246,148
testpilot_dark_tabs_037.png,868,499,1049,572,12676,187,79
testpilot_dark_tabs_038.png,497,500,677,572,12684,186,78
testpilot_dark_tabs_039.png,682,500,862,572,12615,186,78
testpilot_dark_tabs_040.png,1052,500,1236,572,12909,190,78
testpilot_dark_tabs_041.png,1242,500,1423,572,12664,187,78
testpilot_dark_tabs_042.png,1165,599,1289,654,6012,130,61
testpilot_dark_tabs_043.png,496,602,570,648,2966,80,52
testpilot_dark_tabs_044.png,885,602,1009,651,5462,130,55
testpilot_dark_tabs_045.png,1027,602,1152,650,5517,131,54
testpilot_dark_tabs_046.png,586,603,654,647,2549,74,50
testpilot_dark_tabs_047.png,675,603,748,647,2780,79,50
testpilot_dark_tabs_048.png,769,603,839,647,2665,76,50
testpilot_dark_tabs_049.png,1295,603,1418,650,5290,129,53
testpilot_dark_tabs_050.png,26,639,261,702,14643,241,69
testpilot_dark_tabs_051.png,671,665,753,715,3530,88,56
testpilot_dark_tabs_052.png,1164,665,1287,728,7316,129,69
testpilot_dark_tabs_053.png,496,667,570,713,2956,80,52
testpilot_dark_tabs_054.png,886,668,1010,723,6575,130,61
testpilot_dark_tabs_055.png,1029,668,1150,724,6497,127,62
testpilot_dark_tabs_056.png,585,669,654,712,2554,75,49
testpilot_dark_tabs_057.png,769,669,839,712,2604,76,49
testpilot_dark_tabs_058.png,1296,669,1419,724,6538,129,61
testpilot_dark_tabs_059.png,25,724,284,1032,75593,265,314
testpilot_dark_tabs_060.png,373,739,822,798,25764,455,65
testpilot_dark_tabs_061.png,892,740,1011,795,5886,125,61
testpilot_dark_tabs_062.png,1169,744,1283,793,5079,120,55
testpilot_dark_tabs_063.png,1029,745,1145,794,5166,122,55
testpilot_dark_tabs_064.png,1304,745,1419,794,5073,121,55
testpilot_dark_tabs_065.png,373,805,822,864,26230,455,65
testpilot_dark_tabs_066.png,889,809,1012,872,7163,129,69
testpilot_dark_tabs_067.png,1029,812,1145,869,6102,122,63
testpilot_dark_tabs_068.png,1168,813,1281,870,5913,119,63
testpilot_dark_tabs_069.png,1304,813,1419,868,5992,121,61
testpilot_dark_tabs_070.png,371,872,822,933,26213,457,67
testpilot_dark_tabs_071.png,1164,886,1287,940,5919,129,60
testpilot_dark_tabs_072.png,892,888,1009,939,5267,123,57
testpilot_dark_tabs_073.png,1028,890,1145,936,4898,123,52
testpilot_dark_tabs_074.png,1304,890,1419,935,4702,121,51
testpilot_dark_tabs_075.png,372,945,822,1003,25950,456,64
testpilot_dark_tabs_076.png,1219,957,1315,1014,4785,102,63
testpilot_dark_tabs_077.png,893,958,989,1013,4572,102,61
testpilot_dark_tabs_078.png,1008,962,1093,1010,3579,91,54
testpilot_dark_tabs_079.png,1115,962,1200,1010,3552,91,54
testpilot_dark_tabs_080.png,1331,962,1419,1009,3661,94,53
