file,x0,y0,x1,y1,pixels,width,height
testpilot_dark_window_style_001.png,15,8,452,223,92779,443,221
testpilot_dark_window_style_002.png,469,9,855,87,28324,392,84
testpilot_dark_window_style_003.png,942,12,999,51,2131,63,45
testpilot_dark_window_style_004.png,1007,12,1064,51,2107,63,45
testpilot_dark_window_style_005.png,879,13,932,50,1878,59,43
testpilot_dark_window_style_006.png,1094,13,1152,66,1615,64,59
testpilot_dark_window_style_007.png,1174,13,1356,31,3240,188,24
testpilot_dark_window_style_008.png,1377,13,1435,66,1597,64,59
testpilot_dark_window_style_009.png,879,55,932,96,2040,59,47
testpilot_dark_window_style_010.png,941,55,999,94,2188,64,45
testpilot_dark_window_style_011.png,1006,55,1065,222,9144,65,173
testpilot_dark_window_style_012.png,1094,78,1152,137,1795,64,65
testpilot_dark_window_style_013.png,1377,78,1435,137,1809,64,65
testpilot_dark_window_style_014.png,469,91,855,169,29166,392,84
testpilot_dark_window_style_015.png,879,97,934,223,6309,61,132
testpilot_dark_window_style_016.png,939,97,1000,181,4814,67,90
testpilot_dark_window_style_017.png,1174,116,1356,137,3699,188,27
testpilot_dark_window_style_018.png,1094,145,1152,202,1698,64,63
testpilot_dark_window_style_019.png,1174,146,1356,167,3698,188,27
testpilot_dark_window_style_020.png,1377,146,1434,200,1642,63,60
testpilot_dark_window_style_021.png,469,170,855,213,15293,392,49
testpilot_dark_window_style_022.png,787,170,845,172,103,64,8
testpilot_dark_window_style_023.png,941,184,999,222,2134,64,44
testpilot_dark_window_style_024.png,1094,203,1152,230,1149,64,33
testpilot_dark_window_style_025.png,1377,203,1434,230,1131,63,33
testpilot_dark_window_style_026.png,1174,210,1356,230,3585,188,26
testpilot_dark_window_style_027.png,15,234,111,663,41081,102,435
testpilot_dark_window_style_028.png,244,234,304,663,25319,66,435
testpilot_dark_window_style_029.png,117,235,236,663,50820,125,434
testpilot_dark_window_style_030.png,576,235,840,402,43953,270,173
testpilot_dark_window_style_031.png,314,236,564,401,41074,256,171
testpilot_dark_window_style_032.png,851,236,1165,401,51446,320,171
testpilot_dark_window_style_033.png,1179,240,1435,428,46711,262,194
testpilot_dark_window_style_034.png,315,415,520,457,8292,211,48
testpilot_dark_window_style_035.png,533,416,719,457,7273,192,47
testpilot_dark_window_style_036.png,730,416,907,457,6995,183,47
testpilot_dark_window_style_037.png,931,424,964,458,991,39,40
testpilot_dark_window_style_038.png,983,426,1016,458,986,39,38
testpilot_dark_window_style_039.png,1035,426,1068,458,981,39,38
testpilot_dark_window_style_040.png,1092,426,1124,458,967,38,38
testpilot_dark_window_style_041.png,1148,436,1204,469,1632,62,39
testpilot_dark_window_style_042.png,1292,436,1332,654,8371,46,224
testpilot_dark_window_style_043.png,1344,436,1378,654,7288,40,224
testpilot_dark_window_style_044.png,1215,438,1246,505,1851,37,73
testpilot_dark_window_style_045.png,1266,440,1284,651,3547,24,217
testpilot_dark_window_style_046.png,1379,440,1437,649,9679,64,215
testpilot_dark_window_style_047.png,313,459,521,667,40990,214,214
testpilot_dark_window_style_048.png,532,459,719,668,36330,193,215
testpilot_dark_window_style_049.png,729,459,910,585,21462,187,132
testpilot_dark_window_style_050.png,931,469,965,503,1060,40,40
testpilot_dark_window_style_051.png,983,469,1016,503,1050,39,40
testpilot_dark_window_style_052.png,1034,469,1068,503,1035,40,40
testpilot_dark_window_style_053.png,1092,471,1122,502,880,36,37
testpilot_dark_window_style_054.png,1146,476,1204,507,1598,64,37
testpilot_dark_window_style_055.png,1215,516,1246,547,745,37,37
testpilot_dark_window_style_056.png,1146,517,1204,550,1689,64,39
testpilot_dark_window_style_057.png,985,518,1016,550,894,37,38
testpilot_dark_window_style_058.png,1036,518,1068,550,921,38,38
testpilot_dark_window_style_059.png,1092,518,1122,549,870,36,37
testpilot_dark_window_style_060.png,935,519,965,550,852,36,37
testpilot_dark_window_style_061.png,1217,560,1246,588,659,35,34
testpilot_dark_window_style_062.png,1146,561,1204,594,1665,64,39
testpilot_dark_window_style_063.png,984,565,1016,597,810,38,38
testpilot_dark_window_style_064.png,1036,565,1067,597,818,37,38
testpilot_dark_window_style_065.png,1093,566,1121,596,674,34,36
testpilot_dark_window_style_066.png,936,567,964,595,628,34,34
testpilot_dark_window_style_067.png,731,589,907,629,6578,182,46
testpilot_dark_window_style_068.png,932,603,966,638,969,40,41
testpilot_dark_window_style_069.png,983,603,1017,638,964,40,41
testpilot_dark_window_style_070.png,1035,603,1068,639,947,39,42
testpilot_dark_window_style_071.png,1092,604,1122,637,781,36,39
testpilot_dark_window_style_072.png,1145,604,1204,638,1709,65,40
testpilot_dark_window_style_073.png,1215,605,1256,636,1067,47,37
testpilot_dark_window_style_074.png,731,630,907,668,6401,182,44
testpilot_dark_window_style_075.png,14,675,264,701,6159,256,32
testpilot_dark_window_style_076.png,915,679,1022,717,3929,113,44
testpilot_dark_window_style_077.png,1030,679,1110,717,2898,86,44
