file,x0,y0,x1,y1,pixels,width,height
testpilot_icons_001.png,890,87,967,181,6665,83,100
testpilot_icons_002.png,46,90,135,178,5540,95,94
testpilot_icons_003.png,328,90,415,180,6424,93,96
testpilot_icons_004.png,469,90,555,181,6300,92,97
testpilot_icons_005.png,599,90,694,185,6292,101,101
testpilot_icons_006.png,1032,90,1110,180,6958,84,96
testpilot_icons_007.png,745,91,832,181,4388,93,96
testpilot_icons_008.png,1313,91,1401,180,5621,94,95
testpilot_icons_009.png,1195,94,1245,177,3364,56,89
testpilot_icons_010.png,189,98,272,175,5689,89,83
testpilot_icons_011.png,1170,140,1194,177,865,30,43
testpilot_icons_012.png,469,222,545,315,6503,82,99
testpilot_icons_013.png,181,227,272,313,6231,97,92
testpilot_icons_014.png,54,228,124,314,5700,76,92
testpilot_icons_015.png,611,228,686,314,6345,81,92
testpilot_icons_016.png,750,228,824,314,4950,80,92
testpilot_icons_017.png,1169,229,1252,314,3811,89,91
testpilot_icons_018.png,330,230,407,309,5836,83,85
testpilot_icons_019.png,891,230,971,310,4693,86,86
testpilot_icons_020.png,1319,232,1393,309,2932,80,83
testpilot_icons_021.png,1047,234,1094,292,1529,53,64
testpilot_icons_022.png,1033,277,1108,306,885,81,35
testpilot_icons_023.png,331,364,405,449,4844,80,91
testpilot_icons_024.png,49,367,127,446,5879,84,85
testpilot_icons_025.png,187,367,266,446,2559,85,85
testpilot_icons_026.png,466,367,545,448,4974,85,87
testpilot_icons_027.png,609,367,688,406,1263,85,45
testpilot_icons_028.png,747,367,827,449,5089,86,88
testpilot_icons_029.png,1031,367,1112,449,5169,87,88
testpilot_icons_030.png,1174,367,1255,449,5176,87,88
testpilot_icons_031.png,887,371,973,449,4299,92,84
testpilot_icons_032.png,1346,377,1362,393,197,22,22
testpilot_icons_033.png,1346,400,1361,416,190,21,22
testpilot_icons_034.png,606,411,684,447,1214,84,42
testpilot_icons_035.png,1346,422,1362,438,198,22,22
testpilot_icons_036.png,330,496,405,584,6295,81,94
testpilot_icons_037.png,468,496,544,584,6323,82,94
testpilot_icons_038.png,608,496,683,584,6292,81,94
testpilot_icons_039.png,746,496,819,584,6134,79,94
testpilot_icons_040.png,189,501,266,578,2503,83,83
testpilot_icons_041.png,1029,501,1113,578,6385,90,83
testpilot_icons_042.png,47,502,131,576,5518,90,80
testpilot_icons_043.png,887,502,972,579,6448,91,83
testpilot_icons_044.png,1177,502,1214,576,2567,43,80
testpilot_icons_045.png,1215,502,1253,576,2615,44,80
testpilot_icons_046.png,1310,504,1403,574,6425,99,76
testpilot_icons_047.png,891,623,961,714,5664,76,97
testpilot_icons_048.png,46,627,134,717,6265,94,96
testpilot_icons_049.png,518,627,544,710,1989,32,89
testpilot_icons_050.png,1026,628,1113,717,4468,93,95
testpilot_icons_051.png,1171,628,1259,717,4464,94,95
testpilot_icons_052.png,1310,628,1397,717,4463,93,95
testpilot_icons_053.png,186,630,270,712,4130,90,88
testpilot_icons_054.png,752,630,822,713,4314,76,89
testpilot_icons_055.png,607,632,691,711,2395,90,85
testpilot_icons_056.png,322,640,413,706,5869,97,72
testpilot_icons_057.png,466,654,517,710,2224,57,62
testpilot_icons_058.png,334,767,406,840,4144,78,79
testpilot_icons_059.png,471,768,542,840,3974,77,78
testpilot_icons_060.png,752,768,819,838,4560,73,76
testpilot_icons_061.png,614,769,682,838,4523,74,75
testpilot_icons_062.png,1187,771,1241,839,1108,60,74
testpilot_icons_063.png,1329,771,1380,839,1072,57,74
testpilot_icons_064.png,36,772,143,835,5887,113,69
testpilot_icons_065.png,180,772,279,834,5356,105,68
testpilot_icons_066.png,900,778,959,832,1025,65,60
testpilot_icons_067.png,1037,778,1102,832,1072,71,60
testpilot_icons_068.png,924,899,966,946,821,48,53
testpilot_icons_069.png,619,900,666,954,873,53,60
testpilot_icons_070.png,765,900,807,955,779,48,61
testpilot_icons_071.png,1046,900,1110,939,872,70,45
testpilot_icons_072.png,52,907,86,970,693,40,69
testpilot_icons_073.png,82,907,115,970,683,39,69
testpilot_icons_074.png,193,907,227,969,690,40,68
testpilot_icons_075.png,223,907,257,970,708,40,69
testpilot_icons_076.png,898,908,961,974,1390,69,72
testpilot_icons_077.png,1214,908,1247,972,781,39,70
testpilot_icons_078.png,1324,908,1352,935,389,34,33
testpilot_icons_079.png,1366,908,1394,934,385,34,32
testpilot_icons_080.png,1177,909,1211,973,792,40,70
testpilot_icons_081.png,333,915,401,953,780,74,44
testpilot_icons_082.png,471,922,539,960,773,74,44
testpilot_icons_083.png,1036,941,1100,980,844,70,45
testpilot_icons_084.png,605,947,680,974,873,81,33
testpilot_icons_085.png,748,947,823,974,873,81,33
testpilot_icons_086.png,1324,947,1352,974,387,34,33
testpilot_icons_087.png,1366,948,1394,974,383,34,32
