file,x0,y0,x1,y1,pixels,width,height
testpilot_tabs_001.png,30,30,220,98,12847,196,74
testpilot_tabs_002.png,1229,30,1421,97,12507,198,73
testpilot_tabs_003.png,229,31,421,97,12436,198,72
testpilot_tabs_004.png,429,31,621,97,12398,198,72
testpilot_tabs_005.png,628,31,821,97,12477,199,72
testpilot_tabs_006.png,829,31,1020,97,12384,197,72
testpilot_tabs_007.png,1028,31,1222,97,12482,200,72
testpilot_tabs_008.png,827,117,1021,189,13618,200,78
testpilot_tabs_009.png,30,120,220,186,12472,196,72
testpilot_tabs_010.png,429,120,620,188,12453,197,74
testpilot_tabs_011.png,628,120,821,187,12471,199,73
testpilot_tabs_012.png,1028,120,1221,186,12504,199,72
testpilot_tabs_013.png,1229,120,1419,186,12122,196,72
testpilot_tabs_014.png,229,121,421,186,12344,198,71
testpilot_tabs_015.png,736,209,902,266,8744,172,63
testpilot_tabs_016.png,29,211,194,264,8199,171,59
testpilot_tabs_017.png,207,211,370,266,8200,169,61
testpilot_tabs_018.png,383,211,547,265,8131,170,60
testpilot_tabs_019.png,560,211,724,264,8123,170,59
testpilot_tabs_020.png,916,211,1080,266,8162,170,61
testpilot_tabs_021.png,1111,211,1420,267,16133,315,62
testpilot_tabs_022.png,30,294,259,358,14294,235,70
testpilot_tabs_023.png,303,297,460,351,8224,163,60
testpilot_tabs_024.png,626,300,738,364,6921,118,70
testpilot_tabs_025.png,748,303,864,364,6703,122,67
testpilot_tabs_026.png,1032,304,1148,366,6888,122,68
testpilot_tabs_027.png,502,305,617,364,6606,121,65
testpilot_tabs_028.png,876,305,1013,364,7889,143,65
testpilot_tabs_029.png,1158,306,1277,364,6708,125,64
testpilot_tabs_030.png,1291,306,1415,365,7067,130,65
testpilot_tabs_031.png,45,358,130,359,85,91,7
testpilot_tabs_032.png,136,358,195,359,59,65,7
testpilot_tabs_033.png,303,361,460,414,8227,163,59
testpilot_tabs_034.png,30,365,259,429,14329,235,70
testpilot_tabs_035.png,1055,400,1236,484,14935,187,90
testpilot_tabs_036.png,502,402,675,484,13942,179,88
testpilot_tabs_037.png,685,402,862,483,14119,183,87
testpilot_tabs_038.png,871,402,1045,484,13984,180,88
testpilot_tabs_039.png,1243,402,1419,484,14149,182,88
testpilot_tabs_040.png,303,425,460,478,8233,163,59
testpilot_tabs_041.png,30,437,259,502,14527,235,71
testpilot_tabs_042.png,303,488,461,542,8287,164,60
testpilot_tabs_043.png,30,509,259,576,14643,235,73
testpilot_tabs_044.png,502,517,675,595,13185,179,84
testpilot_tabs_045.png,685,517,858,595,13158,179,84
testpilot_tabs_046.png,870,517,1232,595,27055,368,84
testpilot_tabs_047.png,1243,517,1419,595,13169,182,84
testpilot_tabs_048.png,301,549,464,610,9757,169,67
testpilot_tabs_049.png,39,574,102,576,109,69,8
testpilot_tabs_050.png,26,577,264,650,17096,244,79
testpilot_tabs_051.png,303,616,460,669,8229,163,59
testpilot_tabs_052.png,1163,620,1282,669,5183,125,55
testpilot_tabs_053.png,884,622,1008,668,5120,130,52
testpilot_tabs_054.png,1025,623,1148,668,4946,129,51
testpilot_tabs_055.png,1290,624,1414,667,4990,130,49
testpilot_tabs_056.png,501,625,567,666,2324,72,47
testpilot_tabs_057.png,768,625,836,665,2391,74,46
testpilot_tabs_058.png,588,626,650,665,2127,68,45
testpilot_tabs_059.png,674,626,744,665,2430,76,45
testpilot_tabs_060.png,30,656,259,718,13909,235,68
testpilot_tabs_061.png,1024,693,1142,747,6069,124,60
testpilot_tabs_062.png,1160,693,1276,747,6060,122,60
testpilot_tabs_063.png,1292,693,1415,747,6301,129,60
testpilot_tabs_064.png,500,694,571,733,2440,77,45
testpilot_tabs_065.png,671,694,748,734,2662,83,46
testpilot_tabs_066.png,884,694,1005,747,6241,127,59
testpilot_tabs_067.png,584,695,656,733,2435,78,44
testpilot_tabs_068.png,766,695,838,733,2490,78,44
testpilot_tabs_069.png,31,752,281,852,23312,256,106
testpilot_tabs_070.png,391,765,823,824,24112,438,65
testpilot_tabs_071.png,893,775,1004,825,4904,117,56
testpilot_tabs_072.png,1162,775,1277,824,5018,121,55
testpilot_tabs_073.png,1026,776,1140,823,4818,120,53
testpilot_tabs_074.png,1300,776,1415,823,4870,121,53
testpilot_tabs_075.png,699,823,812,824,113,119,7
testpilot_tabs_076.png,391,833,823,890,24028,438,63
testpilot_tabs_077.png,892,845,1005,905,6390,119,66
testpilot_tabs_078.png,1027,845,1141,903,6357,120,64
testpilot_tabs_079.png,1163,845,1276,903,6312,119,64
testpilot_tabs_080.png,1300,845,1415,903,6360,121,64
testpilot_tabs_081.png,31,855,281,903,11643,256,54
testpilot_tabs_082.png,390,905,823,962,24139,439,63
testpilot_tabs_083.png,26,907,286,1061,38268,266,160
testpilot_tabs_084.png,1160,925,1278,972,5049,124,53
testpilot_tabs_085.png,894,927,1003,971,4395,115,50
testpilot_tabs_086.png,1026,927,1140,971,4579,120,50
testpilot_tabs_087.png,1301,927,1413,970,4466,118,49
testpilot_tabs_088.png,391,982,823,1039,24376,438,63
testpilot_tabs_089.png,1217,1000,1306,1046,3662,95,52
testpilot_tabs_090.png,895,1001,980,1046,3437,91,51
testpilot_tabs_091.png,1109,1001,1193,1045,3267,90,50
testpilot_tabs_092.png,1327,1001,1412,1045,3323,91,50
testpilot_tabs_093.png,1002,1002,1085,1045,3187,89,49
